Title,URL
"Public Enterprises Department, Assam",https://dpe.assam.gov.in
"Revenue & Disaster Management Department, Assam",https://landrevenue.assam.gov.in
"Tourism Department, Assam",https://tourism.assam.gov.in
Direct Benefit Transfer (DBT) Portal of Ministry of Tribal Affairs,https://dbttribal.gov.in
"Tribal Research Institute (TRI), Centres of Excellence (CoE) & Research Projects",https://tritribal.gov.in
Khelo India - National Programme for Development of Sports,https://kheloindia.gov.in
"Transformation and Development Department, Assam",https://transdev.assam.gov.in
"Transport Department, Assam",https://transport.assam.gov.in
"Arts and Culture Department, Puducherry",https://art.py.gov.in
"Finance Department, Assam",https://finance.assam.gov.in
"General Administration Department, Assam",https://sad.assam.gov.in
"Guwahati Developement Department, Assam",https://gdd.assam.gov.in
"Health and Family Welfare Department, Assam",https://hfw.assam.gov.in
"Commercial Taxes Department, Puducherry",https://gst.py.gov.in
"Co-operative Department, Puducherry",https://cooperative.py.gov.in
Warehousing Development and Regulatory Authority (WDRA),https://wdra.gov.in
National Food Security Dashboard,https://nfsa.gov.in
"Home and Political Department, Assam",https://homeandpolitical.assam.gov.in
"Industries and Commerce Department, Assam",https://industries.assam.gov.in
"Information Technology Department, Assam",https://it.assam.gov.in
Kanyashree Prakalpa - A scheme for improving the status and well being of the girl child in West Bengal,https://wbkanyashree.gov.in
West Bengal State Electricity Distribution Company Limited (WBSEDCL),https://www.wbsedcl.in
Kerala Public Service Commission-Online Application Forms,https://thulasi.psc.kerala.gov.in
"Police Department, Puducherry",https://police.py.gov.in
"State Election Commission (SEC), Maharashtra",https://mahasec.maharashtra.gov.in
"Lok Samvad Cell, CM Secretariat, Bihar",https://www.loksamvad.bihar.gov.in
"Leutenant General Dashboard of Darpan, U.T. Administration of Lakshadweep",https://ld.lgdashboard.nic.in
Tamil Nadu Text Book and Educational Services Corporation (TNTB & ESC),https://textbookcorp.tn.gov.in
Tripura State Pollution Control Board (TSPCB),https://tspcb.tripura.gov.in
"Transport Department, Puducherry",https://transport.py.gov.in
"Vigilance Department, Puducherry",https://cvo.py.gov.in
"Personnel and Administrative Reforms Department, Puducherry",https://dpar.py.gov.in
"Rural Development Department, Puducherry",https://drda.py.gov.in
Kerala Chief Minister's Pandemic Relief Fund,https://donation.cmdrf.kerala.gov.in
Tripura State Disaster Management Authority,https://tdma.tripura.gov.in
Tripura Forest Developent And Plantation Corporation Limited (TFDPC),https://tfdpc.tripura.gov.in
